Unused bits: 12.66%

Nr.     Instruction                     Format                                                                                                                                
  970   DIV (rrr),(rrr),n,rrr           oooooooo uuuAAAAA uuuBBBBB CCCCCCCC uuuDDDDD                                                                                          
  971   DIV (rrr),fr                    oooooooo uuuAAAAA uuuuBBBB                                                                                                            
  972   DIV (rrr),nnnn,n,nnn            oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC DDDDDDDD DDDDDDDD DDDDDDDD                                             
  973   DIV (rrr),nnnn,n                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC                                                                        
  974   DIV (rrr),r                     oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  975   DIV (rrr),rr                    oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  976   DIV (rrr),rrr                   oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  977   DIV (rrr),rrrr                  oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  978   DIV fr,(nnn,nnn)                oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                               
  979   DIV fr,(nnn,r)                  oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  980   DIV fr,(nnn,rr)                 oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  981   DIV fr,(nnn,rrr)                oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  982   DIV fr,(nnn)                    oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
  983   DIV fr,(rrr,nnn)                oooooooo uuuuAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                                                 
  984   DIV fr,(rrr,r)                  oooooooo uuuuAAAA uuuBBBBB uuuCCCCC                                                                                                   
  985   DIV fr,(rrr,rr)                 oooooooo uuuuAAAA uuuBBBBB uuuCCCCC                                                                                                   
  986   DIV fr,(rrr,rrr)                oooooooo uuuuAAAA uuuBBBBB uuuCCCCC                                                                                                   
  987   DIV fr,(rrr)                    oooooooo uuuuAAAA uuuBBBBB                                                                                                            
  988   DIV fr,fr                       oooooooo uuuuAAAA uuuuBBBB                                                                                                            
  989   DIV fr,nnnn                     oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB BBBBBBBB                                                                                 
  990   DIV fr,r                        oooooooo uuuuAAAA uuuBBBBB                                                                                                            
  991   DIV fr,rr                       oooooooo uuuuAAAA uuuBBBBB                                                                                                            
  992   DIV fr,rrr                      oooooooo uuuuAAAA uuuBBBBB                                                                                                            
  993   DIV fr,rrrr                     oooooooo uuuuAAAA uuuBBBBB                                                                                                            
  994   DIV r,(nnn,nnn)                 oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                               
  995   DIV r,(nnn,r)                   oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  996   DIV r,(nnn,rr)                  oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  997   DIV r,(nnn,rrr)                 oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  998   DIV r,(nnn)                     oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
  999   DIV r,(rrr,nnn)                 oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                                                 
 1000   DIV r,(rrr,r)                   oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 1001   DIV r,(rrr,rr)                  oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 1002   DIV r,(rrr,rrr)                 oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 1003   DIV r,(rrr)                     oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1004   DIV r,fr                        oooooooo uuuAAAAA uuuuBBBB                                                                                                            
 1005   DIV r,n                         oooooooo uuuAAAAA BBBBBBBB                                                                                                            
 1006   DIV r,r                         oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1007   DIV rr,(nnn,nnn)                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                               
 1008   DIV rr,(nnn,r)                  oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 1009   DIV rr,(nnn,rr)                 oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 1010   DIV rr,(nnn,rrr)                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 1011   DIV rr,(nnn)                    oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 1012   DIV rr,(rrr,nnn)                oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                                                 
 1013   DIV rr,(rrr,r)                  oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 1014   DIV rr,(rrr,rr)                 oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 1015   DIV rr,(rrr,rrr)                oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 1016   DIV rr,(rrr)                    oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1017   DIV rr,fr                       oooooooo uuuAAAAA uuuuBBBB                                                                                                            
 1018   DIV rr,nn                       oooooooo uuuAAAAA BBBBBBBB BBBBBBBB                                                                                                   
 1019   DIV rr,r                        oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1020   DIV rr,rr                       oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1021   DIV rrr,(nnn,nnn)               oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                               
 1022   DIV rrr,(nnn,r)                 oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 1023   DIV rrr,(nnn,rr)                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 1024   DIV rrr,(nnn,rrr)               oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 1025   DIV rrr,(nnn)                   oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 1026   DIV rrr,(rrr,nnn)               oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                                                 
 1027   DIV rrr,(rrr,r)                 oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 1028   DIV rrr,(rrr,rr)                oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 1029   DIV rrr,(rrr,rrr)               oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 1030   DIV rrr,(rrr)                   oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1031   DIV rrr,fr                      oooooooo uuuAAAAA uuuuBBBB                                                                                                            
 1032   DIV rrr,nnn                     oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 1033   DIV rrr,r                       oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1034   DIV rrr,rr                      oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1035   DIV rrr,rrr                     oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1036   DIV rrrr,(nnn,nnn)              oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                               
 1037   DIV rrrr,(nnn,r)                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 1038   DIV rrrr,(nnn,rr)               oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 1039   DIV rrrr,(nnn,rrr)              oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
 1040   DIV rrrr,(nnn)                  oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 1041   DIV rrrr,(rrr,nnn)              oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                                                 
 1042   DIV rrrr,(rrr,r)                oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 1043   DIV rrrr,(rrr,rr)               oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 1044   DIV rrrr,(rrr,rrr)              oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
 1045   DIV rrrr,(rrr)                  oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1046   DIV rrrr,fr                     oooooooo uuuAAAAA uuuuBBBB                                                                                                            
 1047   DIV rrrr,nnnn                   oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB BBBBBBBB                                                                                 
 1048   DIV rrrr,r                      oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1049   DIV rrrr,rr                     oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1050   DIV rrrr,rrr                    oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1051   DIV rrrr,rrrr                   oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1052   DJNZ (nnn),nnn                  oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                        
 1053   DJNZ (nnn),rrr                  oooooooo AAAAAAAA AAAAAAAA AAAAAAAA uuuBBBBB                                                                                          
 1054   DJNZ (rrr),nnn                  oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 1055   DJNZ (rrr),rrr                  oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1056   DJNZ r,nnn                      oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 1057   DJNZ r,rrr                      oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1058   DJNZ rr,nnn                     oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 1059   DJNZ rr,rrr                     oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1060   DJNZ rrr,nnn                    oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 1061   DJNZ rrr,rrr                    oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1062   DJNZ rrrr,nnn                   oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 1063   DJNZ rrrr,rrr                   oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1064   DJNZ16 (nnn),nnn                oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                        
 1065   DJNZ16 (nnn),rrr                oooooooo AAAAAAAA AAAAAAAA AAAAAAAA uuuBBBBB                                                                                          
 1066   DJNZ16 (rrr),nnn                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 1067   DJNZ16 (rrr),rrr                oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1068   DJNZ24 (nnn),nnn                oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                        
 1069   DJNZ24 (nnn),rrr                oooooooo AAAAAAAA AAAAAAAA AAAAAAAA uuuBBBBB                                                                                          
 1070   DJNZ24 (rrr),nnn                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 1071   DJNZ24 (rrr),rrr                oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1072   DJNZ32 (nnn),nnn                oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                        
 1073   DJNZ32 (nnn),rrr                oooooooo AAAAAAAA AAAAAAAA AAAAAAAA uuuBBBBB                                                                                          
 1074   DJNZ32 (rrr),nnn                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
 1075   DJNZ32 (rrr),rrr                oooooooo uuuAAAAA uuuBBBBB                                                                                                            
 1076   EX fr,fr                        oooooouu AAAABBBB                                                                                                                     
