Nr.  	Status	Compiled instruction                                      	Bytecodes (hex)                                               	Disassembled to                                           
  984	OK    	SET S, G                                                  	0A, 06, 46                                                    	SET S, G                                                  
  985	OK    	SET TU, 0x06                                              	0A, 0A, 66                                                    	SET TU, 0x06                                              
  986	OK    	SET WXY, 0x01                                             	0A, 12, C1                                                    	SET WXY, 0x01                                             
  987	OK    	SET YZAB, 0x07                                            	0A, 1B, 07                                                    	SET YZAB, 0x07                                            
  988	OK    	SETBITS ABCD, KLM, G                                      	39, 18, 0A, 06                                                	SETBITS ABCD, KLM, G                                      
  989	OK    	SETBITS EFGH, S, O                                        	39, 10, 92, 0E                                                	SETBITS EFGH, S, O                                        
  990	OK    	SETBITS KLMN, EFG, 0x73                                   	39, 09, 44, 73                                                	SETBITS KLMN, EFG, 0x73                                   
  991	OK    	SETBITS MNOP, EFGH, K                                     	39, 1D, 84, 0A                                                	SETBITS MNOP, EFGH, K                                     
  992	OK    	SETBITS MNOP, STUV, 0x24                                  	39, 0D, 92, 24                                                	SETBITS MNOP, STUV, 0x24                                  
  993	OK    	SETBITS OPQR, AB, C                                       	39, 15, C0, 02                                                	SETBITS OPQR, AB, C                                       
  994	OK    	SETBITS QRST, S, 0x29                                     	39, 02, 12, 29                                                	SETBITS QRST, S, 0x29                                     
  995	OK    	SETBITS TUVW, BC, 0x07                                    	39, 06, 61, 07                                                	SETBITS TUVW, BC, 0x07                                    
  996	OK    	SETF LT                                                   	24, 0F                                                        	SETF LT                                                   
  997	OK    	SETVAR 0x102118CD, 0x1060102D                             	BE, 00, 10, 21, 18, CD, 10, 60, 10, 2D                        	SETVAR 0x102118CD, 0x1060102D                             
  998	OK    	SETVAR 0x38C1C935, JKLM                                   	BE, 01, 38, C1, C9, 35, 09                                    	SETVAR 0x38C1C935, JKLM                                   
  999	OK    	SETVAR OPQR, NOPQ                                         	BE, 03, 0E, 0D                                                	SETVAR OPQR, NOPQ                                         
 1000	OK    	SETVAR RSTU, 0x3995EF1A                                   	BE, 02, 11, 39, 95, EF, 1A                                    	SETVAR RSTU, 0x3995EF1A                                   
 1001	OK    	SIN F3, F10                                               	66, 13, 0A                                                    	SIN F3, F10                                               
 1002	OK    	SIN F6                                                    	66, 06                                                        	SIN F6                                                    
 1003	OK    	SL B, 0x01                                                	06, 00, 21                                                    	SL B, 0x01                                                
 1004	OK    	SL EFG, C                                                 	06, 14, 82                                                    	SL EFG, C                                                 
